Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/dev/TFG/src/features/profile/components/owner/TenantActivitySidebar.tsx   | TypeScript JSX |         82 |          0 |          6 |         88 |
| /home/dev/TFG/src/features/profile/components/shared/ProfileSkeletonLoaders.tsx | TypeScript JSX |         82 |          2 |          7 |         91 |
| /home/dev/TFG/src/features/profile/components/user/BookingHistory.tsx           | TypeScript JSX |        270 |          8 |         20 |        298 |
| /home/dev/TFG/src/features/profile/components/user/FavoritesList.tsx            | TypeScript JSX |         59 |          0 |          3 |         62 |
| /home/dev/TFG/src/features/profile/components/user/ProfileAccountSettings.tsx   | TypeScript JSX |        125 |          2 |         14 |        141 |
| /home/dev/TFG/src/features/profile/components/user/ProfileSidebar.tsx           | TypeScript JSX |         94 |          3 |          7 |        104 |
| /home/dev/TFG/src/features/profile/components/user/ReviewModal.tsx              | TypeScript JSX |        119 |          2 |         14 |        135 |
| /home/dev/TFG/src/features/profile/hooks/useFavorites.ts                        | TypeScript     |         35 |          0 |          6 |         41 |
| /home/dev/TFG/src/features/profile/hooks/useProfileData.ts                      | TypeScript     |         70 |          2 |         10 |         82 |
| /home/dev/TFG/src/features/profile/index.ts                                     | TypeScript     |          2 |          4 |          2 |          8 |
| /home/dev/TFG/src/features/profile/services/favorites.dal.ts                    | TypeScript     |         71 |          0 |         11 |         82 |
| /home/dev/TFG/src/features/profile/services/favorites.service.ts                | TypeScript     |         46 |          0 |         10 |         56 |
| /home/dev/TFG/src/features/profile/services/profile.dal.ts                      | TypeScript     |         94 |         22 |         18 |        134 |
| /home/dev/TFG/src/features/profile/services/profile.service.ts                  | TypeScript     |         80 |         23 |         21 |        124 |
| /home/dev/TFG/src/main.tsx                                                      | TypeScript JSX |         10 |          1 |          2 |         13 |
| /home/dev/TFG/src/mobile/components/MobileBottomNav.tsx                         | TypeScript JSX |         41 |         15 |          7 |         63 |
| /home/dev/TFG/src/mobile/haptics.ts                                             | TypeScript     |         19 |         48 |          5 |         72 |
| /home/dev/TFG/src/mobile/index.ts                                               | TypeScript     |          6 |         21 |          7 |         34 |
| /home/dev/TFG/src/mobile/keyboard.ts                                            | TypeScript     |         22 |         44 |          8 |         74 |
| /home/dev/TFG/src/mobile/platform.ts                                            | TypeScript     |         17 |         43 |          9 |         69 |
| /home/dev/TFG/src/mobile/splash.ts                                              | TypeScript     |         14 |         38 |          6 |         58 |
| /home/dev/TFG/src/mobile/status-bar.ts                                          | TypeScript     |         24 |         35 |         10 |         69 |
| /home/dev/TFG/src/mobile/storage.ts                                             | TypeScript     |         20 |         49 |          6 |         75 |
| /home/dev/TFG/src/pages/auth/AuthCallbackPage.tsx                               | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/auth/LoginPage.tsx                                      | TypeScript JSX |        180 |         11 |         21 |        212 |
| /home/dev/TFG/src/pages/auth/SignUpPage.tsx                                     | TypeScript JSX |        321 |          9 |         37 |        367 |
| /home/dev/TFG/src/pages/booking/BookingPage.tsx                                 | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/errors/ErrorPage.tsx                                    | TypeScript JSX |         82 |         10 |          8 |        100 |
| /home/dev/TFG/src/pages/home/HomePage.tsx                                       | TypeScript JSX |        760 |         36 |         61 |        857 |
| /home/dev/TFG/src/pages/index.ts                                                | TypeScript     |          9 |          5 |          5 |         19 |
| /home/dev/TFG/src/pages/parking/MapViewPage.tsx                                 | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/parking/ParkingDetailPage.tsx                           | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/profile/OwnerProfilePage.tsx                            | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/pages/profile/UserProfilePage.tsx                             | TypeScript JSX |          4 |          0 |          2 |          6 |
| /home/dev/TFG/src/shared/components/ErrorBoundary.tsx                           | TypeScript JSX |         44 |          0 |          7 |         51 |
| /home/dev/TFG/src/shared/components/LocationLink.tsx                            | TypeScript JSX |         36 |          0 |          4 |         40 |
| /home/dev/TFG/src/shared/components/auth/ProtectedRoute.tsx                     | TypeScript JSX |         21 |          9 |          7 |         37 |
| /home/dev/TFG/src/shared/components/auth/PublicRoute.tsx                        | TypeScript JSX |         16 |          4 |          6 |         26 |
| /home/dev/TFG/src/shared/components/calendar/BookingTimeline.tsx                | TypeScript JSX |        260 |         16 |         34 |        310 |
| /home/dev/TFG/src/shared/components/layout/Header.tsx                           | TypeScript JSX |        228 |          4 |         14 |        246 |
| /home/dev/TFG/src/shared/components/layout/MainLayout.tsx                       | TypeScript JSX |         17 |          0 |          3 |         20 |
| /home/dev/TFG/src/shared/components/layout/MobileNavbar.tsx                     | TypeScript JSX |         32 |          0 |          4 |         36 |
| /home/dev/TFG/src/shared/components/loaders/AnimatedLoader.tsx                  | TypeScript JSX |        185 |         11 |         10 |        206 |
| /home/dev/TFG/src/shared/components/loaders/AuthSkeleton.tsx                    | TypeScript JSX |         30 |          5 |          4 |         39 |
